split,train_start,test_start,test_end,sharpe,sortino,calmar,max_drawdown,ann_return,win_rate,trade_count,w_lstm,w_transformer,w_xgboost,w_cnn,w_garch,train_days,timesteps,t_forecast_s,t_hmm_s,t_ppo_s,t_total_s
3,2005-01-03,2009-01-03,2009-07-03,-1.3594755071526596,-1.7857580461171978,-2.033876443686915,-0.23288386214674675,-0.4736570015384867,0.42028985507246375,64,0.19212865829467773,0.17291776835918427,0.25274768471717834,0.1915174424648285,0.19068841636180878,793,200000,1.6,0.1,717.3,720.2
4,2005-01-03,2009-07-03,2010-01-03,5.156583962838409,7.068164425370773,18.701714438780158,-0.0400841114968675,0.7496416086168121,0.5633802816901409,71,0.19086498022079468,0.17120623588562012,0.26156049966812134,0.18837906420230865,0.18798919022083282,922,200000,1.8,0.1,709.9,713.0
5,2005-01-03,2010-01-03,2010-07-03,-1.6381135236207922,-2.344372100457404,-1.5074043479042813,-0.19420038730185252,-0.2927385083342483,0.4142857142857143,69,0.1920616328716278,0.17267107963562012,0.25655895471572876,0.18971343338489532,0.1889948695898056,1053,200000,1.9,0.1,736.4,739.9
6,2005-01-03,2010-07-03,2011-01-03,0.5826975603171721,0.9172471004619329,1.5384848432909408,-0.0415893032210048,0.06398451280239548,0.45714285714285713,69,0.1937514692544937,0.1751696765422821,0.24800685048103333,0.19193920493125916,0.1911327838897705,1183,200000,2.1,0.1,730.3,733.9
7,2005-01-03,2011-01-03,2011-07-03,1.0367397571494954,1.19803303179465,3.843005756249731,-0.06879986213944918,0.2643982666153917,0.5571428571428572,59,0.19439740478992462,0.17676173150539398,0.24273549020290375,0.19322587549686432,0.19287949800491333,1313,200000,2.3,0.1,725.2,729.1
8,2005-01-03,2011-07-03,2012-01-03,-2.2372639492882977,-3.076331268055386,-2.2940782184404984,-0.2143060439726241,-0.4916348277871564,0.36619718309859156,67,0.19430343806743622,0.17825600504875183,0.24294507503509521,0.19250835478305817,0.19198712706565857,1443,200000,2.6,1.0,735.3,740.3
9,2005-01-03,2012-01-03,2012-07-03,4.009274714443846,7.396338211242361,18.587059853429384,-0.032695853078704644,0.6077197799915226,0.5285714285714286,69,0.19770780205726624,0.1769786924123764,0.23634019494056702,0.1944427490234375,0.19453050196170807,1574,200000,2.8,0.2,759.2,763.6
10,2005-01-03,2012-07-03,2013-01-03,-1.147222117030549,-1.6349324945774946,-2.0026559239643538,-0.08049695087496918,-0.16120769573109017,0.375,70,0.19818337261676788,0.1767583042383194,0.23438934981822968,0.19550570845603943,0.19516324996948242,1704,200000,2.9,0.2,723.3,727.9
11,2005-01-03,2013-01-03,2013-07-03,-1.2152373668486018,-2.0301898821807494,-2.162007602764254,-0.07736163336967836,-0.16725643972370619,0.43478260869565216,42,0.19732822477817535,0.18060113489627838,0.23112395405769348,0.19543635845184326,0.19551032781600952,1836,200000,3.3,0.1,724.4,729.3
12,2005-01-03,2013-07-03,2014-01-03,1.1848795478813043,2.149451557466124,1.767217790301157,-0.08485306575006994,0.14995384753183916,0.3888888888888889,64,0.19839103519916534,0.1811215877532959,0.22876150906085968,0.19573615491390228,0.1959896832704544,1965,200000,3.4,0.1,722.8,727.8
13,2005-01-03,2014-01-03,2014-07-03,-3.763908841290168,-4.172390994631401,-2.618535426077395,-0.12597425128290707,-0.3298680400197215,0.37681159420289856,67,0.19712907075881958,0.1843835562467575,0.22746683657169342,0.19577375054359436,0.19524681568145752,2097,200000,3.4,0.1,729.1,734.0
14,2005-01-03,2014-07-03,2015-01-03,-2.886837054373961,-3.0444045216453723,-2.690703191088876,-0.252997594983992,-0.6807414364303086,0.40983606557377056,58,0.19737608730793,0.1845432072877884,0.2262764722108841,0.19649380445480347,0.19531042873859406,2226,200000,4.1,0.1,724.7,730.3
15,2005-01-03,2015-01-03,2015-07-03,6.453015529501323,13.245295033771466,45.18502689696946,-0.0325170171161761,1.469282297522136,0.5362318840579711,69,0.19776344299316406,0.18465310335159302,0.22379957139492035,0.19735173881053925,0.19643211364746094,2358,200000,3.9,0.2,733.4,739.1
16,2005-01-03,2015-07-03,2016-01-03,-0.8988022140286936,-1.4512056236881858,-1.3629197415477148,-0.21159165844782932,-0.28838244858165984,0.4084507042253521,42,0.19828329980373383,0.18452861905097961,0.2239963859319687,0.19680216908454895,0.19638954102993011,2487,200000,4.2,0.2,734.5,740.5
17,2005-01-03,2016-01-03,2016-07-03,1.4205208486005825,2.5446266333175758,5.370079734928147,-0.08227330587536778,0.4418142131438653,0.5571428571428572,36,0.19791053235530853,0.1853962242603302,0.22368256747722626,0.19693385064601898,0.19607676565647125,2618,209440,4.5,0.2,785.1,791.3
18,2005-01-03,2016-07-03,2017-01-03,0.5235555214919514,0.8050972367622513,0.7203943070773956,-0.1341754741742023,0.09665924781654489,0.4084507042253521,66,0.1972493976354599,0.1860114187002182,0.22449955344200134,0.19640974700450897,0.1958298683166504,2748,219840,4.6,0.1,817.1,823.4
19,2005-01-03,2017-01-03,2017-07-03,-1.1435104457457488,-1.938144088659304,-2.06671696886229,-0.10522266105775549,-0.21746545932358022,0.34782608695652173,60,0.1978720873594284,0.18564504384994507,0.22388608753681183,0.19661124050617218,0.19598551094532013,2879,230320,5.3,0.2,868.3,875.5
20,2005-01-03,2017-07-03,2018-01-03,0.020300052602357094,0.027649137255753704,0.050494278398251775,-0.05397184886962415,0.0027252695675406002,0.4583333333333333,63,0.19729824364185333,0.18651066720485687,0.22266702353954315,0.19700981676578522,0.19651420414447784,3008,240640,5.2,0.1,907.7,914.6
21,2005-01-03,2018-01-03,2018-07-03,-1.616569187206786,-2.054635579771417,-3.009284539632663,-0.11078723655145664,-0.3333903184438536,0.37681159420289856,50,0.19829349219799042,0.18575608730316162,0.222219318151474,0.19706347584724426,0.1966676265001297,3140,251200,5.8,0.1,927.8,935.5
22,2005-01-03,2018-07-03,2019-01-03,-1.9156462768195595,-1.7945177007105884,-2.6204206388947027,-0.16801680611686623,-0.4402747066918481,0.4305555555555555,71,0.19882439076900482,0.18615764379501343,0.2208082228899002,0.19733451306819916,0.19687527418136597,3269,261520,5.2,0.1,950.0,957.0
23,2005-01-03,2019-01-03,2019-07-03,-0.5099964746171152,-0.6223886284073059,-1.1571625515920512,-0.08510209932482067,-0.09847696251626592,0.42028985507246375,61,0.19808024168014526,0.1882450431585312,0.22045524418354034,0.19658951461315155,0.19662992656230927,3401,272080,6.5,0.2,995.2,1003.6
24,2005-01-03,2019-07-03,2020-01-03,-2.87491839062967,-3.5839712386200455,-2.7089172938780957,-0.1736550860869625,-0.47041726614175394,0.3194444444444444,57,0.1984616219997406,0.18690252304077148,0.22022876143455505,0.19739161431789398,0.19701546430587769,3530,282400,5.9,0.2,1029.1,1037.0
25,2005-01-03,2020-01-03,2020-07-03,3.646940073319351,5.9798082376519615,23.346576770360695,-0.2802529484588284,6.542946978648635,0.36363636363636365,15,0.198871448636055,0.18577700853347778,0.21990685164928436,0.19789160788059235,0.1975531131029129,3662,292960,6.2,0.2,1067.6,1075.4
26,2005-01-03,2020-07-03,2021-01-03,0.4773344503672317,0.6038609471377526,0.7408545013416219,-0.17475945975715457,0.12947133248720344,0.4788732394366197,66,0.1954057812690735,0.18533551692962646,0.2314663976430893,0.1942145973443985,0.19357770681381226,3792,303360,6.4,0.1,1147.5,1155.9
27,2005-01-03,2021-01-03,2021-07-03,-0.06902400158631074,-0.10766968075404222,-0.17021630170497729,-0.09218103903302428,-0.015690715568545177,0.4428571428571429,52,0.1958390772342682,0.18649069964885712,0.2286708652973175,0.19485270977020264,0.19414664804935455,3923,313840,6.6,0.2,1159.3,1167.9
28,2005-01-03,2021-07-03,2022-01-03,-0.6757356719287305,-0.5492496263305807,-1.0671147706638697,-0.21069354944289898,-0.22483419880082733,0.5285714285714286,62,0.19651636481285095,0.18685053288936615,0.22692923247814178,0.195041686296463,0.1946621537208557,4053,324240,6.7,0.1,1231.1,1239.8
29,2005-01-03,2022-01-03,2022-07-03,2.388191701092101,3.490828683121701,8.659002497261351,-0.10900133235161355,0.9438428099033365,0.5428571428571428,46,0.19583776593208313,0.1868380308151245,0.22759445011615753,0.19525198638439178,0.19447773694992065,4183,334640,7.4,0.1,1261.7,1271.1
30,2005-01-03,2022-07-03,2023-01-03,1.137579914564449,2.1068221575455803,2.2018095327103864,-0.1131015147967255,0.24902799366359596,0.4788732394366197,71,0.19637471437454224,0.18748560547828674,0.22702312469482422,0.19481173157691956,0.19430480897426605,4313,345040,8.1,0.5,1224.3,1234.8
31,2005-01-03,2023-01-03,2023-07-03,-0.4662710817504177,-0.6963438375374092,-0.8258251851489168,-0.19861460054334,-0.1640209393495644,0.4927536231884059,13,0.19577129185199738,0.18767070770263672,0.22710438072681427,0.19503307342529297,0.19442051649093628,4444,355520,7.7,0.6,1264.2,1274.4
32,2005-01-03,2023-07-03,2024-01-03,-1.2681926265136934,-1.8454352526694997,-1.7646340433446164,-0.24033700478245784,-0.4241068606910664,0.4305555555555555,37,0.19606368243694305,0.18819688260555267,0.22728346288204193,0.19446153938770294,0.1939944177865982,4573,365840,8.0,0.2,1316.0,1326.0
33,2005-01-03,2024-01-03,2024-07-03,-0.33997126659897103,-0.5178838157705575,-0.5369047312491274,-0.1119980877241646,-0.060132303243649265,0.4142857142857143,43,0.19662290811538696,0.187923863530159,0.2261238694190979,0.19407932460308075,0.1952500343322754,4705,376400,8.1,0.3,1356.4,1366.6
